metric,timestep,p,cliffs_delta
gene,400,0.11498741920155964,0.3422222222222222
gene,800,0.02792505735330741,0.47555555555555556
gene,1200,0.08901797772326324,0.3688888888888889
gene,1600,0.0744956919139866,0.38666666666666666
gene,2000,0.04211061679180699,0.44
gene,2400,0.05639236422683157,0.41333333333333333
gene,2800,0.05639236422683157,0.41333333333333333
gene,3200,0.0744956919139866,0.38666666666666666
gene,3600,0.06196961991403871,0.40444444444444444
gene,4000,0.05639236422683157,0.41333333333333333
gene,4400,0.04648668639528603,0.4311111111111111
gene,4800,0.03439744889250225,0.4577777777777778
gene,5200,0.02792505735330741,0.47555555555555556
gene,5600,0.007940336264246579,0.5733333333333334
gene,6000,0.007016199234239618,0.5822222222222222
gene,6400,0.007940336264246579,0.5733333333333334
gene,6800,0.005452139856940547,0.6
gene,7200,0.005452139856940547,0.6
gene,7600,0.0036905851986807135,0.6266666666666667
gene,8000,0.0028226386759533724,0.6444444444444445
gene,8400,0.0036905851986807135,0.6266666666666667
gene,8800,0.0024626042007544523,0.6533333333333333
gene,9200,0.0012151954178690621,0.6977777777777778
gene,9600,0.0010500284893971504,0.7066666666666667
gene,10000,0.0006709034051003711,0.7333333333333333
gene,10400,0.0003609347195741741,0.7688888888888888
gene,10800,0.00011457127866286101,0.8311111111111111
gene,11200,5.737063008488556e-05,0.8666666666666667
gene,11600,5.737063008488556e-05,0.8666666666666667
gene,12000,4.0199730927471705e-05,0.8844444444444445
gene,12400,4.0199730927471705e-05,0.8844444444444445
gene,12800,2.3290004782067234e-05,0.9111111111111111
gene,13200,1.6053092802023668e-05,0.9288888888888889
gene,13600,1.6053092802023668e-05,0.9288888888888889
gene,14000,1.6053092802023668e-05,0.9288888888888889
gene,14400,1.3294722762606463e-05,0.9377777777777778
gene,14800,1.6053092802023668e-05,0.9288888888888889
gene,15200,1.3294722762606463e-05,0.9377777777777778
gene,15600,9.073400856319234e-06,0.9555555555555556
gene,16000,7.477207640048691e-06,0.9644444444444444
gene,16400,7.477207640048691e-06,0.9644444444444444
gene,16800,5.052703540469845e-06,0.9822222222222222
gene,17200,4.143220097537536e-06,0.9911111111111112
gene,17600,4.143220097537536e-06,0.9911111111111112
gene,18000,4.143220097537536e-06,0.9911111111111112
gene,18400,3.391821390825095e-06,1.0
gene,18800,3.391821390825095e-06,1.0
gene,19200,3.391821390825095e-06,1.0
gene,19600,3.391821390825095e-06,1.0
gene,20000,3.391821390825095e-06,1.0
gene,20400,3.391821390825095e-06,1.0
gene,20800,3.391821390825095e-06,1.0
gene,21200,3.391821390825095e-06,1.0
gene,21600,3.391821390825095e-06,1.0
gene,22000,3.391821390825095e-06,1.0
gene,22400,3.391821390825095e-06,1.0
gene,22800,3.391821390825095e-06,1.0
gene,23200,3.391821390825095e-06,1.0
gene,23600,3.391821390825095e-06,1.0
gene,24000,3.391821390825095e-06,1.0
gene,24400,3.391821390825095e-06,1.0
gene,24800,3.391821390825095e-06,1.0
gene,25200,3.391821390825095e-06,1.0
gene,25600,3.391821390825095e-06,1.0
gene,26000,3.391821390825095e-06,1.0
gene,26400,3.391821390825095e-06,1.0
gene,26800,3.391821390825095e-06,1.0
gene,27200,3.391821390825095e-06,1.0
gene,27600,3.391821390825095e-06,1.0
gene,28000,3.391821390825095e-06,1.0
gene,28400,3.391821390825095e-06,1.0
gene,28800,3.391821390825095e-06,1.0
gene,29200,3.391821390825095e-06,1.0
gene,29600,3.391821390825095e-06,1.0
gene,30000,3.391821390825095e-06,1.0
gene,30400,3.391821390825095e-06,1.0
gene,30800,3.391821390825095e-06,1.0
gene,31200,3.391821390825095e-06,1.0
gene,31600,3.391821390825095e-06,1.0
gene,32000,3.391821390825095e-06,1.0
gene,32400,3.391821390825095e-06,1.0
gene,32800,3.391821390825095e-06,1.0
gene,33200,3.391821390825095e-06,1.0
gene,33600,3.391821390825095e-06,1.0
gene,34000,3.391821390825095e-06,1.0
gene,34400,3.391821390825095e-06,1.0
gene,34800,3.391821390825095e-06,1.0
gene,35200,3.391821390825095e-06,1.0
gene,35600,3.391821390825095e-06,1.0
gene,36000,3.391821390825095e-06,1.0
gene,36400,3.391821390825095e-06,1.0
gene,36800,3.391821390825095e-06,1.0
gene,37200,3.391821390825095e-06,1.0
gene,37600,3.391821390825095e-06,1.0
gene,38000,3.391821390825095e-06,1.0
gene,38400,3.391821390825095e-06,1.0
gene,38800,3.391821390825095e-06,1.0
gene,39200,3.391821390825095e-06,1.0
gene,39600,3.391821390825095e-06,1.0
gene,40000,3.391821390825095e-06,1.0
gene,40400,3.391821390825095e-06,1.0
gene,40800,3.391821390825095e-06,1.0
gene,41200,3.391821390825095e-06,1.0
gene,41600,3.391821390825095e-06,1.0
gene,42000,3.391821390825095e-06,1.0
gene,42400,3.391821390825095e-06,1.0
gene,42800,3.391821390825095e-06,1.0
gene,43200,3.391821390825095e-06,1.0
gene,43600,3.391821390825095e-06,1.0
gene,44000,3.391821390825095e-06,1.0
gene,44400,3.391821390825095e-06,1.0
gene,44800,3.391821390825095e-06,1.0
gene,45200,3.391821390825095e-06,1.0
gene,45600,3.391821390825095e-06,1.0
gene,46000,3.391821390825095e-06,1.0
gene,46400,3.391821390825095e-06,1.0
gene,46800,3.391821390825095e-06,1.0
gene,47200,3.391821390825095e-06,1.0
gene,47600,3.391821390825095e-06,1.0
gene,48000,3.391821390825095e-06,1.0
gene,48400,3.391821390825095e-06,1.0
gene,48800,3.391821390825095e-06,1.0
gene,49200,3.391821390825095e-06,1.0
gene,49600,3.391821390825095e-06,1.0
gene,50000,3.391821390825095e-06,1.0
gene,50400,3.391821390825095e-06,1.0
gene,50800,3.391821390825095e-06,1.0
gene,51200,3.391821390825095e-06,1.0
gene,51600,3.391821390825095e-06,1.0
gene,52000,3.391821390825095e-06,1.0
gene,52400,3.391821390825095e-06,1.0
gene,52800,3.391821390825095e-06,1.0
gene,53200,3.391821390825095e-06,1.0
gene,53600,3.391821390825095e-06,1.0
gene,54000,3.391821390825095e-06,1.0
gene,54400,3.391821390825095e-06,1.0
gene,54800,3.391821390825095e-06,1.0
gene,55200,3.391821390825095e-06,1.0
gene,55600,3.391821390825095e-06,1.0
