metric,timestep,p,cliffs_delta
gene,400,0.10560943764183207,0.19420552286102308
gene,800,0.3742575935796667,0.10683567224988683
gene,1200,0.34841111068490427,0.11272068809416025
gene,1600,0.04756683724446414,0.23766410140334993
gene,2000,0.024231018667140967,0.27025803531009507
gene,2400,0.0031865832737409065,0.3535536441828882
gene,2800,0.00045026551242061303,0.4205522861023087
gene,3200,4.157462423904199e-05,0.49117247623358984
gene,3600,6.347990710619308e-06,0.5409687641466727
gene,4000,5.780309460197399e-07,0.5989135355364418
gene,4400,3.596548112300215e-07,0.6097781801720236
gene,4800,4.57060596277673e-08,0.6550475328202807
gene,5200,4.409906017470186e-09,0.7030330466274333
gene,5600,3.8189470493390324e-10,0.7501131733816206
gene,6000,1.3622638809027018e-10,0.7691263014938886
gene,6400,9.138959736143197e-11,0.7763693979176097
gene,6800,4.0691065059147826e-11,0.7908555907650521
gene,7200,1.7859643616141765e-11,0.8053417836124943
gene,7600,4.307679322346113e-12,0.8297872340425532
gene,8000,3.4772194249579403e-12,0.8334087822544137
gene,8400,8.002065687444435e-13,0.8578542326844726
gene,8800,2.3451776927503726e-13,0.8777727478497057
gene,9200,1.4907968554507795e-13,0.8850158442734269
gene,9600,6.688548968247357e-14,0.8976912630149388
gene,10000,1.7501619838836073e-14,0.9185151652331371
gene,10400,1.6499452658718653e-14,0.9194205522861023
gene,10800,1.0902445738977571e-14,0.9257582616568583
gene,11200,7.184226855523478e-15,0.9320959710276143
gene,11600,3.4918784457489987e-15,0.942960615663196
gene,12000,3.4918784457489987e-15,0.942960615663196
gene,12400,1.683506800893862e-15,0.9538252602987777
gene,12800,1.1653896689465852e-15,0.9592575826165686
gene,13200,7.113915598098758e-16,0.9665006790402897
gene,13600,4.605281402969991e-16,0.9728383884110458
gene,14000,5.550599464920101e-16,0.9701222272521502
gene,14400,3.587581005610463e-16,0.9764599366229063
gene,14800,3.3699765394090753e-16,0.9773653236758715
gene,15200,2.7922571657477294e-16,0.9800814848347669
gene,15600,2.1712869876743159e-16,0.9837030330466274
gene,16000,1.5835010576639307e-16,0.9882299683114532
gene,16400,1.3951063906518862e-16,0.9900407424173834
gene,16800,1.2288483835604e-16,0.9918515165233137
gene,17200,1.0821595004318667e-16,0.993662290629244
gene,17600,8.939165479070452e-17,0.9963784517881394
gene,18000,8.386547387253616e-17,0.9972838388411046
gene,18400,7.380438251554031e-17,0.9990946129470348
gene,18800,7.380438251554031e-17,0.9990946129470348
gene,19200,7.380438251554031e-17,0.9990946129470348
gene,19600,7.867648161211644e-17,0.9981892258940697
gene,20000,7.380438251554031e-17,0.9990946129470348
gene,20400,7.380438251554031e-17,0.9990946129470348
gene,20800,6.923008540664507e-17,1.0
gene,21200,6.923008540664507e-17,1.0
gene,21600,6.923008540664507e-17,1.0
gene,22000,6.923008540664507e-17,1.0
gene,22400,6.923008540664507e-17,1.0
gene,22800,6.923008540664507e-17,1.0
gene,23200,6.923008540664507e-17,1.0
gene,23600,6.923008540664507e-17,1.0
gene,24000,6.923008540664507e-17,1.0
gene,24400,6.923008540664507e-17,1.0
gene,24800,6.923008540664507e-17,1.0
gene,25200,6.923008540664507e-17,1.0
gene,25600,6.923008540664507e-17,1.0
gene,26000,6.923008540664507e-17,1.0
gene,26400,6.923008540664507e-17,1.0
gene,26800,6.923008540664507e-17,1.0
gene,27200,6.923008540664507e-17,1.0
gene,27600,6.923008540664507e-17,1.0
gene,28000,6.923008540664507e-17,1.0
gene,28400,6.923008540664507e-17,1.0
gene,28800,6.923008540664507e-17,1.0
gene,29200,6.923008540664507e-17,1.0
gene,29600,6.923008540664507e-17,1.0
gene,30000,6.923008540664507e-17,1.0
gene,30400,6.923008540664507e-17,1.0
gene,30800,6.923008540664507e-17,1.0
gene,31200,6.923008540664507e-17,1.0
gene,31600,6.923008540664507e-17,1.0
gene,32000,6.923008540664507e-17,1.0
gene,32400,6.923008540664507e-17,1.0
gene,32800,6.923008540664507e-17,1.0
gene,33200,6.923008540664507e-17,1.0
gene,33600,6.923008540664507e-17,1.0
gene,34000,6.923008540664507e-17,1.0
gene,34400,6.923008540664507e-17,1.0
gene,34800,6.923008540664507e-17,1.0
gene,35200,6.923008540664507e-17,1.0
gene,35600,6.923008540664507e-17,1.0
gene,36000,6.923008540664507e-17,1.0
gene,36400,6.923008540664507e-17,1.0
gene,36800,6.923008540664507e-17,1.0
gene,37200,6.923008540664507e-17,1.0
gene,37600,6.923008540664507e-17,1.0
gene,38000,6.923008540664507e-17,1.0
gene,38400,6.923008540664507e-17,1.0
gene,38800,6.923008540664507e-17,1.0
gene,39200,6.923008540664507e-17,1.0
gene,39600,6.923008540664507e-17,1.0
gene,40000,6.923008540664507e-17,1.0
gene,40400,6.923008540664507e-17,1.0
gene,40800,6.923008540664507e-17,1.0
gene,41200,6.923008540664507e-17,1.0
gene,41600,6.923008540664507e-17,1.0
gene,42000,6.923008540664507e-17,1.0
gene,42400,6.923008540664507e-17,1.0
gene,42800,6.923008540664507e-17,1.0
gene,43200,6.923008540664507e-17,1.0
gene,43600,6.923008540664507e-17,1.0
gene,44000,6.923008540664507e-17,1.0
gene,44400,6.923008540664507e-17,1.0
gene,44800,6.923008540664507e-17,1.0
gene,45200,6.923008540664507e-17,1.0
gene,45600,6.923008540664507e-17,1.0
gene,46000,6.923008540664507e-17,1.0
gene,46400,6.923008540664507e-17,1.0
gene,46800,6.923008540664507e-17,1.0
gene,47200,6.923008540664507e-17,1.0
gene,47600,6.923008540664507e-17,1.0
gene,48000,6.923008540664507e-17,1.0
gene,48400,6.923008540664507e-17,1.0
gene,48800,6.923008540664507e-17,1.0
gene,49200,6.923008540664507e-17,1.0
gene,49600,6.923008540664507e-17,1.0
gene,50000,6.923008540664507e-17,1.0
gene,50400,6.923008540664507e-17,1.0
gene,50800,6.923008540664507e-17,1.0
gene,51200,6.923008540664507e-17,1.0
gene,51600,6.923008540664507e-17,1.0
gene,52000,6.923008540664507e-17,1.0
gene,52400,6.923008540664507e-17,1.0
gene,52800,6.923008540664507e-17,1.0
gene,53200,6.923008540664507e-17,1.0
gene,53600,6.923008540664507e-17,1.0
gene,54000,6.923008540664507e-17,1.0
gene,54400,6.923008540664507e-17,1.0
gene,54800,6.923008540664507e-17,1.0
gene,55200,6.923008540664507e-17,1.0
gene,55600,6.923008540664507e-17,1.0
gene,56000,6.923008540664507e-17,1.0
gene,56400,6.923008540664507e-17,1.0
gene,56800,6.923008540664507e-17,1.0
gene,57200,6.923008540664507e-17,1.0
gene,57600,6.923008540664507e-17,1.0
gene,58000,6.923008540664507e-17,1.0
gene,58400,6.923008540664507e-17,1.0
gene,58800,6.923008540664507e-17,1.0
gene,59200,6.923008540664507e-17,1.0
gene,59600,6.923008540664507e-17,1.0
gene,60000,6.923008540664507e-17,1.0
gene,60400,6.923008540664507e-17,1.0
gene,60800,6.923008540664507e-17,1.0
gene,61200,6.923008540664507e-17,1.0
gene,61600,6.923008540664507e-17,1.0
gene,62000,6.923008540664507e-17,1.0
gene,62400,6.923008540664507e-17,1.0
gene,62800,6.923008540664507e-17,1.0
gene,63200,6.923008540664507e-17,1.0
gene,63600,6.923008540664507e-17,1.0
gene,64000,6.923008540664507e-17,1.0
gene,64400,6.923008540664507e-17,1.0
gene,64800,6.923008540664507e-17,1.0
gene,65200,6.923008540664507e-17,1.0
gene,65600,6.923008540664507e-17,1.0
gene,66000,6.923008540664507e-17,1.0
gene,66400,6.923008540664507e-17,1.0
gene,66800,6.923008540664507e-17,1.0
gene,67200,6.923008540664507e-17,1.0
gene,67600,6.923008540664507e-17,1.0
gene,68000,6.923008540664507e-17,1.0
gene,68400,6.923008540664507e-17,1.0
gene,68800,6.923008540664507e-17,1.0
gene,69200,6.923008540664507e-17,1.0
gene,69600,6.923008540664507e-17,1.0
gene,70000,6.923008540664507e-17,1.0
gene,70400,6.923008540664507e-17,1.0
gene,70800,6.923008540664507e-17,1.0
gene,71200,6.923008540664507e-17,1.0
gene,71600,6.923008540664507e-17,1.0
gene,72000,6.923008540664507e-17,1.0
gene,72400,6.923008540664507e-17,1.0
gene,72800,6.923008540664507e-17,1.0
gene,73200,6.923008540664507e-17,1.0
gene,73600,6.923008540664507e-17,1.0
gene,74000,6.923008540664507e-17,1.0
gene,74400,6.923008540664507e-17,1.0
gene,74800,6.923008540664507e-17,1.0
gene,75200,6.923008540664507e-17,1.0
gene,75600,6.923008540664507e-17,1.0
gene,76000,6.923008540664507e-17,1.0
gene,76400,6.923008540664507e-17,1.0
gene,76800,6.923008540664507e-17,1.0
gene,77200,6.923008540664507e-17,1.0
gene,77600,6.923008540664507e-17,1.0
gene,78000,6.923008540664507e-17,1.0
gene,78400,6.923008540664507e-17,1.0
gene,78800,6.923008540664507e-17,1.0
gene,79200,6.923008540664507e-17,1.0
gene,79600,6.923008540664507e-17,1.0
gene,80000,6.923008540664507e-17,1.0
gene,80400,6.923008540664507e-17,1.0
gene,80800,6.923008540664507e-17,1.0
gene,81200,6.923008540664507e-17,1.0
gene,81600,6.923008540664507e-17,1.0
gene,82000,6.923008540664507e-17,1.0
gene,82400,6.923008540664507e-17,1.0
gene,82800,6.923008540664507e-17,1.0
gene,83200,6.923008540664507e-17,1.0
gene,83600,6.923008540664507e-17,1.0
gene,84000,6.923008540664507e-17,1.0
gene,84400,6.923008540664507e-17,1.0
gene,84800,6.923008540664507e-17,1.0
gene,85200,6.923008540664507e-17,1.0
gene,85600,7.380438251554031e-17,0.9990946129470348
gene,86000,7.380438251554031e-17,0.9990946129470348
gene,86400,7.380438251554031e-17,0.9990946129470348
gene,86800,7.380438251554031e-17,0.9990946129470348
gene,87200,7.380438251554031e-17,0.9990946129470348
gene,87600,7.380438251554031e-17,0.9990946129470348
gene,88000,7.380438251554031e-17,0.9990946129470348
gene,88400,7.380438251554031e-17,0.9990946129470348
gene,88800,7.380438251554031e-17,0.9990946129470348
gene,89200,7.867648161211644e-17,0.9981892258940697
gene,89600,7.867648161211644e-17,0.9981892258940697
gene,90000,7.867648161211644e-17,0.9981892258940697
gene,90400,7.867648161211644e-17,0.9981892258940697
gene,90800,7.867648161211644e-17,0.9981892258940697
gene,91200,7.867648161211644e-17,0.9981892258940697
gene,91600,6.923008540664507e-17,1.0
gene,92000,6.923008540664507e-17,1.0
gene,92400,7.380438251554031e-17,0.9990946129470348
gene,92800,6.923008540664507e-17,1.0
gene,93200,6.923008540664507e-17,1.0
gene,93600,6.923008540664507e-17,1.0
gene,94000,6.923008540664507e-17,1.0
gene,94400,6.923008540664507e-17,1.0
gene,94800,6.923008540664507e-17,1.0
gene,95200,7.380438251554031e-17,0.9990946129470348
